course_title,skills,rating,review_count,level,duration,skills_list,filtered_representative_skills,skill__Transform,skill__Big Data,skill__Strategy,skill__Customer Analysis,skill__Business Analysis,skill__Finance,skill__User Experience,skill__Network Architecture,skill__Reinforcement Learning,skill__DevOps,skill__Network Security,skill__Cloud Computing,skill__Computer Programming,skill__Leadership and Management,skill__Computer Programming Tools,skill__Sales,skill__Communication,skill__Marketing,skill__Critical Thinking,skill__Human Resources,skill__Data Management,skill__Organizational Development,skill__Data Visualization,skill__Human Learning,skill__Data Analysis,has_rep
TensorFlow: Data and Deployment,"{"" Machine Learning"","" Applied Machine Learning"","" Deep Learning"","" Tensorflow"","" Computer Programming"","" Javascript"","" Artificial Neural Networks"","" Python Programming"","" Data Model"","" Machine Learning Algorithms"","" Machine Learning Software"","" Mobile Development"","" Web Development"","" Computer Vision"","" Mobile Development Tools"","" Extract"","" Transform"","" Load"","" Human Learning"","" Network Model"","" iOS Development""}",4.6,1400.0,Intermediate , 3 - 6 Months,"['Machine Learning', 'Applied Machine Learning', 'Deep Learning', 'Tensorflow', 'Computer Programming', 'Javascript', 'Artificial Neural Networks', 'Python Programming', 'Data Model', 'Machine Learning Algorithms', 'Machine Learning Software', 'Mobile Development', 'Web Development', 'Computer Vision', 'Mobile Development Tools', 'Extract', 'Transform', 'Load', 'Human Learning', 'Network Model', 'iOS Development']","['Computer Programming', 'Transform', 'Human Learning']",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,True
Exploratory Data Analysis for Machine Learning,"{"" Data Analysis"","" Exploratory Data Analysis"","" Machine Learning"","" Statistical Machine Learning"","" Feature Engineering"","" General Statistics"","" Probability & Statistics"","" Statistical Analysis"","" Algorithms"","" Data Structures""}",4.6,1400.0,Intermediate , 1 - 3 Months,"['Data Analysis', 'Exploratory Data Analysis', 'Machine Learning', 'Statistical Machine Learning', 'Feature Engineering', 'General Statistics', 'Probability & Statistics', 'Statistical Analysis', 'Algorithms', 'Data Structures']",['Data Analysis'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
Programming in C++: A Hands-on Introduction,"{"" Computer Programming"","" Computer Science"","" Problem Solving""}",4.6,921.0,Beginner , 3 - 6 Months,"['Computer Programming', 'Computer Science', 'Problem Solving']",['Computer Programming'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
Introduction to Corporate Finance,"{"" Accounting"","" Budget Management"","" Finance"","" General Accounting"","" Business Analysis"","" Data Analysis"","" Decision Making"","" Entrepreneurship"","" Mathematical Theory & Analysis"","" Strategy and Operations""}",4.6,5800.0,Mixed , 1 - 4 Weeks,"['Accounting', 'Budget Management', 'Finance', 'General Accounting', 'Business Analysis', 'Data Analysis', 'Decision Making', 'Entrepreneurship', 'Mathematical Theory & Analysis', 'Strategy and Operations']","['Finance', 'Business Analysis', 'Data Analysis']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
Agile Leadership,"{"" Leadership and Management"","" Business Psychology"","" Entrepreneurship"","" Communication"","" Strategy and Operations"","" Leadership Development"","" Change Management"","" Organizational Development"","" Project Management"","" Adaptability"","" Collaboration"","" Emotional Intelligence"","" Human Resources"","" Resilience"","" Business Transformation"","" Strategy"","" Business Communication"","" Professional Development"","" Scrum (Software Development)""}",4.8,2200.0,Beginner , 3 - 6 Months,"['Leadership and Management', 'Business Psychology', 'Entrepreneurship', 'Communication', 'Strategy and Operations', 'Leadership Development', 'Change Management', 'Organizational Development', 'Project Management', 'Adaptability', 'Collaboration', 'Emotional Intelligence', 'Human Resources', 'Resilience', 'Business Transformation', 'Strategy', 'Business Communication', 'Professional Development', 'Scrum (Software Development)']","['Leadership and Management', 'Communication', 'Organizational Development', 'Human Resources', 'Strategy']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,True
تحليلات البيانات من Google,"{"" Computer Programming"","" Problem Solving"","" Python Programming"","" Programming Principles"","" Computer Programming Tools"","" Algebra"","" Computational Thinking"","" Exploratory Data Analysis"","" Mathematics"","" Data Analysis"","" Process Analysis"","" Differential Equations"","" Theoretical Computer Science"","" Critical Thinking"","" Data Analysis Software"","" Data Visualization"","" Databases"","" Decision Making"","" People Analysis"","" SQL"","" Communication""}",4.8,162.0,Beginner , 3 - 6 Months,"['Computer Programming', 'Problem Solving', 'Python Programming', 'Programming Principles', 'Computer Programming Tools', 'Algebra', 'Computational Thinking', 'Exploratory Data Analysis', 'Mathematics', 'Data Analysis', 'Process Analysis', 'Differential Equations', 'Theoretical Computer Science', 'Critical Thinking', 'Data Analysis Software', 'Data Visualization', 'Databases', 'Decision Making', 'People Analysis', 'SQL', 'Communication']","['Computer Programming', 'Computer Programming Tools', 'Data Analysis', 'Critical Thinking', 'Data Visualization', 'Communication']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,True
Introduction to Cyber Security,"{"" Security Engineering"","" Cyberattacks"","" Network Security"","" System Security"","" Security Strategy"","" Computer Networking"","" Security Software"","" Computer Security Models"","" Network Architecture"","" Strategy"","" Cryptography"","" Problem Solving"","" Software Security"","" Algorithms"","" Computer Security Incident Management"","" Critical Thinking"","" Operational Analysis"","" Computational Thinking"","" BlockChain"","" Cloud Computing"","" Mobile Security""}",4.7,3400.0,Beginner , 3 - 6 Months,"['Security Engineering', 'Cyberattacks', 'Network Security', 'System Security', 'Security Strategy', 'Computer Networking', 'Security Software', 'Computer Security Models', 'Network Architecture', 'Strategy', 'Cryptography', 'Problem Solving', 'Software Security', 'Algorithms', 'Computer Security Incident Management', 'Critical Thinking', 'Operational Analysis', 'Computational Thinking', 'BlockChain', 'Cloud Computing', 'Mobile Security']","['Network Security', 'Network Architecture', 'Strategy', 'Critical Thinking', 'Cloud Computing']",0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
Google Data Analytics (DE),"{"" Design and Product"","" Data Analysis"","" Software Engineering"","" Microsoft Excel"","" Business Analysis"","" Computer Programming"","" SQL""}",4.4,28.0,Beginner , 3 - 6 Months,"['Design and Product', 'Data Analysis', 'Software Engineering', 'Microsoft Excel', 'Business Analysis', 'Computer Programming', 'SQL']","['Data Analysis', 'Business Analysis', 'Computer Programming']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,True
Python and Statistics for Financial Analysis,"{"" Basic Descriptive Statistics"","" Computer Programming"","" Data Analysis"","" Finance"","" Financial Analysis"","" Probability & Statistics"","" Python Programming"","" Statistical Analysis"","" Data Analysis Software"","" General Statistics"","" Probability Distribution""}",4.4,3900.0,Intermediate , 1 - 4 Weeks,"['Basic Descriptive Statistics', 'Computer Programming', 'Data Analysis', 'Finance', 'Financial Analysis', 'Probability & Statistics', 'Python Programming', 'Statistical Analysis', 'Data Analysis Software', 'General Statistics', 'Probability Distribution']","['Computer Programming', 'Data Analysis', 'Finance']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,True
Natural Language Processing with Probabilistic Models,"{"" Machine Learning"","" Natural Language Processing"","" Python Programming"","" Statistical Programming"","" Statistical Machine Learning""}",4.7,1600.0,Intermediate , 1 - 4 Weeks,"['Machine Learning', 'Natural Language Processing', 'Python Programming', 'Statistical Programming', 'Statistical Machine Learning']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
