course_title,skills,rating,review_count,level,duration,skills_list,filtered_representative_skills,skill__Transform,skill__Big Data,skill__Strategy,skill__Customer Analysis,skill__Business Analysis,skill__Finance,skill__User Experience,skill__Network Architecture,skill__Reinforcement Learning,skill__DevOps,skill__Network Security,skill__Cloud Computing,skill__Computer Programming,skill__Leadership and Management,skill__Computer Programming Tools,skill__Sales,skill__Communication,skill__Marketing,skill__Critical Thinking,skill__Human Resources,skill__Data Management,skill__Organizational Development,skill__Data Visualization,skill__Human Learning,skill__Data Analysis,has_rep
Google Cybersecurity,"{"" Network Security"","" Python Programming"","" Linux"","" Cloud Computing"","" Algorithms"","" Audit"","" Computer Programming"","" Computer Security Incident Management"","" Cryptography"","" Databases"","" Leadership and Management"","" Network Architecture"","" Risk Management"","" SQL""}",4.8,16400.0,Beginner , 3 - 6 Months,"['Network Security', 'Python Programming', 'Linux', 'Cloud Computing', 'Algorithms', 'Audit', 'Computer Programming', 'Computer Security Incident Management', 'Cryptography', 'Databases', 'Leadership and Management', 'Network Architecture', 'Risk Management', 'SQL']","['Network Security', 'Cloud Computing', 'Computer Programming', 'Leadership and Management', 'Network Architecture']",0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,True
Google Data Analytics,"{"" Data Analysis"","" R Programming"","" SQL"","" Business Communication"","" Spreadsheet Software"","" Business Analysis"","" Data Visualization"","" Data Management"","" General Statistics"","" Big Data"","" Communication"","" Computer Programming"","" Data Science"","" Data Visualization Software"","" Databases"","" Exploratory Data Analysis"","" Extract"","" Transform"","" Load"","" Leadership and Management"","" Microsoft Excel"","" Problem Solving"","" Small Data"","" Statistical Programming"","" Tableau Software""}",4.8,133400.0,Beginner , 3 - 6 Months,"['Data Analysis', 'R Programming', 'SQL', 'Business Communication', 'Spreadsheet Software', 'Business Analysis', 'Data Visualization', 'Data Management', 'General Statistics', 'Big Data', 'Communication', 'Computer Programming', 'Data Science', 'Data Visualization Software', 'Databases', 'Exploratory Data Analysis', 'Extract', 'Transform', 'Load', 'Leadership and Management', 'Microsoft Excel', 'Problem Solving', 'Small Data', 'Statistical Programming', 'Tableau Software']","['Data Analysis', 'Business Analysis', 'Data Visualization', 'Data Management', 'Big Data', 'Communication', 'Computer Programming', 'Transform', 'Leadership and Management']",1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,True
Google Project Management:,"{"" Project Management"","" Strategy and Operations"","" Leadership and Management"","" Communication"","" Business Communication"","" Collaboration"","" Agile Software Development"","" Software Engineering"","" Entrepreneurship"","" Scrum (Software Development)"","" Planning"","" Supply Chain and Logistics"","" Change Management"","" Finance"","" Organizational Development"","" Product Management"","" Risk Management"","" Budget Management"","" Influencing"","" Culture"","" Emotional Intelligence"","" People Management"","" Problem Solving"","" Procurement""}",4.8,97300.0,Beginner , 3 - 6 Months,"['Project Management', 'Strategy and Operations', 'Leadership and Management', 'Communication', 'Business Communication', 'Collaboration', 'Agile Software Development', 'Software Engineering', 'Entrepreneurship', 'Scrum (Software Development)', 'Planning', 'Supply Chain and Logistics', 'Change Management', 'Finance', 'Organizational Development', 'Product Management', 'Risk Management', 'Budget Management', 'Influencing', 'Culture', 'Emotional Intelligence', 'People Management', 'Problem Solving', 'Procurement']","['Leadership and Management', 'Communication', 'Finance', 'Organizational Development']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,True
Google Digital Marketing & E-commerce,"{"" Digital Marketing"","" Marketing"","" Marketing Management"","" Media Strategy & Planning"","" Sales"","" E-Commerce"","" Data Analysis"","" Social Media"","" Search Engine Optimization"","" Advertising"","" Communication"","" Persona Research"","" Strategy"","" Web Design"","" Web Development"","" Web Development Tools"","" Writing"","" Data Management"","" Market Analysis""}",4.8,21400.0,Beginner , 3 - 6 Months,"['Digital Marketing', 'Marketing', 'Marketing Management', 'Media Strategy & Planning', 'Sales', 'E-Commerce', 'Data Analysis', 'Social Media', 'Search Engine Optimization', 'Advertising', 'Communication', 'Persona Research', 'Strategy', 'Web Design', 'Web Development', 'Web Development Tools', 'Writing', 'Data Management', 'Market Analysis']","['Marketing', 'Sales', 'Data Analysis', 'Communication', 'Strategy', 'Data Management']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,True
Google IT Support,"{"" Computer Networking"","" Network Architecture"","" Network Model"","" Networking Hardware"","" Network Analysis"","" Computer Architecture"","" Critical Thinking"","" Problem Solving"","" Communication"","" Human Computer Interaction"","" Network Security"","" Linux"","" System Security"","" Cloud Computing"","" Computer Programming"","" Customer Support"","" Cryptography"","" Leadership and Management"","" Operating Systems""}",4.8,181400.0,Beginner , 3 - 6 Months,"['Computer Networking', 'Network Architecture', 'Network Model', 'Networking Hardware', 'Network Analysis', 'Computer Architecture', 'Critical Thinking', 'Problem Solving', 'Communication', 'Human Computer Interaction', 'Network Security', 'Linux', 'System Security', 'Cloud Computing', 'Computer Programming', 'Customer Support', 'Cryptography', 'Leadership and Management', 'Operating Systems']","['Network Architecture', 'Critical Thinking', 'Communication', 'Network Security', 'Cloud Computing', 'Computer Programming', 'Leadership and Management']",0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,True
IBM Data Science,"{"" Python Programming"","" Data Science"","" Machine Learning"","" Data Analysis"","" Data Visualization"","" Algorithms"","" Human Learning"","" Statistical Programming"","" Decision Making"","" Machine Learning Algorithms"","" Statistical Machine Learning"","" Statistical Visualization"","" Computational Thinking"","" Computer Programming"","" Data Management"","" Data Mining"","" Database Design"","" Exploratory Data Analysis"","" Plot (Graphics)"","" Applied Machine Learning"","" Customer Analysis"","" R Programming"","" Data Model"","" Database Application"","" Database Theory"","" Databases"","" Deep Learning"","" SQL"","" General Statistics"","" Probability & Statistics"","" Regression"","" Reinforcement Learning"","" Big Data"","" Cloud Computing"","" IBM Cloud"","" Writing""}",4.6,118900.0,Beginner , 3 - 6 Months,"['Python Programming', 'Data Science', 'Machine Learning', 'Data Analysis', 'Data Visualization', 'Algorithms', 'Human Learning', 'Statistical Programming', 'Decision Making', 'Machine Learning Algorithms', 'Statistical Machine Learning', 'Statistical Visualization', 'Computational Thinking', 'Computer Programming', 'Data Management', 'Data Mining', 'Database Design', 'Exploratory Data Analysis', 'Plot (Graphics)', 'Applied Machine Learning', 'Customer Analysis', 'R Programming', 'Data Model', 'Database Application', 'Database Theory', 'Databases', 'Deep Learning', 'SQL', 'General Statistics', 'Probability & Statistics', 'Regression', 'Reinforcement Learning', 'Big Data', 'Cloud Computing', 'IBM Cloud', 'Writing']","['Data Analysis', 'Data Visualization', 'Human Learning', 'Computer Programming', 'Data Management', 'Customer Analysis', 'Reinforcement Learning', 'Big Data', 'Cloud Computing']",0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,True
Google UX Design,"{"" User Experience"","" User Experience Design"","" User Research"","" Audit"","" Collaboration"","" Human Computer Interaction"","" Planning"","" Product Design"","" Product Development"","" Social Media"","" Web Design"","" Web Development Tools""}",4.8,73700.0,Beginner , 3 - 6 Months,"['User Experience', 'User Experience Design', 'User Research', 'Audit', 'Collaboration', 'Human Computer Interaction', 'Planning', 'Product Design', 'Product Development', 'Social Media', 'Web Design', 'Web Development Tools']",['User Experience'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
IBM Data Analyst,"{"" Python Programming"","" Data Visualization"","" Microsoft Excel"","" Spreadsheet Software"","" Data Analysis"","" Statistical Visualization"","" Plot (Graphics)"","" Statistical Programming"","" Databases"","" SQL"","" Data Management"","" Exploratory Data Analysis"","" Machine Learning"","" Business Analysis"","" Computational Thinking"","" Computer Programming"","" Database Application"","" Database Design"","" Database Theory"","" Data Mining"","" Data Science"","" General Statistics"","" NoSQL"","" R Programming"","" Cloud Computing"","" Data Visualization Software"","" IBM Cloud"","" Interactive Data Visualization"","" Machine Learning Algorithms"","" Probability & Statistics"","" Regression""}",4.6,71500.0,Beginner , 3 - 6 Months,"['Python Programming', 'Data Visualization', 'Microsoft Excel', 'Spreadsheet Software', 'Data Analysis', 'Statistical Visualization', 'Plot (Graphics)', 'Statistical Programming', 'Databases', 'SQL', 'Data Management', 'Exploratory Data Analysis', 'Machine Learning', 'Business Analysis', 'Computational Thinking', 'Computer Programming', 'Database Application', 'Database Design', 'Database Theory', 'Data Mining', 'Data Science', 'General Statistics', 'NoSQL', 'R Programming', 'Cloud Computing', 'Data Visualization Software', 'IBM Cloud', 'Interactive Data Visualization', 'Machine Learning Algorithms', 'Probability & Statistics', 'Regression']","['Data Visualization', 'Data Analysis', 'Data Management', 'Business Analysis', 'Computer Programming', 'Cloud Computing']",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,True
Machine Learning,"{"" Machine Learning"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Algorithms"","" Deep Learning"","" Machine Learning Software"","" Artificial Neural Networks"","" Human Learning"","" Statistical Machine Learning"","" Python Programming"","" Regression"","" Mathematics"","" Tensorflow"","" Critical Thinking"","" Network Model"","" Reinforcement Learning""}",4.9,17700.0,Beginner , 1 - 3 Months,"['Machine Learning', 'Machine Learning Algorithms', 'Applied Machine Learning', 'Algorithms', 'Deep Learning', 'Machine Learning Software', 'Artificial Neural Networks', 'Human Learning', 'Statistical Machine Learning', 'Python Programming', 'Regression', 'Mathematics', 'Tensorflow', 'Critical Thinking', 'Network Model', 'Reinforcement Learning']","['Human Learning', 'Critical Thinking', 'Reinforcement Learning']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,True
Introduction to Data Science,"{"" Data Science"","" Python Programming"","" Data Analysis"","" Data Management"","" R Programming"","" Computational Thinking"","" Computer Programming"","" Data Mining"","" Database Application"","" Database Design"","" Database Theory"","" Databases"","" SQL"","" Data Model"","" Machine Learning"","" Statistical Machine Learning"","" Big Data"","" Cloud Computing"","" Deep Learning"","" IBM Cloud"","" Regression"","" Writing""}",4.6,85000.0,Beginner , 3 - 6 Months,"['Data Science', 'Python Programming', 'Data Analysis', 'Data Management', 'R Programming', 'Computational Thinking', 'Computer Programming', 'Data Mining', 'Database Application', 'Database Design', 'Database Theory', 'Databases', 'SQL', 'Data Model', 'Machine Learning', 'Statistical Machine Learning', 'Big Data', 'Cloud Computing', 'Deep Learning', 'IBM Cloud', 'Regression', 'Writing']","['Data Analysis', 'Data Management', 'Computer Programming', 'Big Data', 'Cloud Computing']",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,True
Generative AI for Everyone,"{"" Strategy"","" Writing""}",4.9,188.0,Beginner , 1 - 4 Weeks,"['Strategy', 'Writing']",['Strategy'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
IBM DevOps and Software Engineering,"{"" DevOps"","" Software Engineering"","" Cloud Computing"","" Computer Programming"","" Application Development"","" Python Programming"","" Software Architecture"","" Cloud Applications"","" Continuous Delivery"","" Continuous Integration"","" Software Engineering Tools"","" Agile Software Development"","" Programming Principles"","" Security Engineering"","" Software Testing"","" Cloud Infrastructure"","" Kubernetes"","" Cloud-Based Integration"","" Microarchitecture"","" Cloud Platforms"","" Communication"","" IBM Cloud"","" Scrum (Software Development)"","" Software Security"","" Cloud Storage"","" Docker (Software)"","" Linux"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Leadership and Management"","" Data Analysis"","" Mergers & Acquisitions""}",4.6,43200.0,Beginner , 3 - 6 Months,"['DevOps', 'Software Engineering', 'Cloud Computing', 'Computer Programming', 'Application Development', 'Python Programming', 'Software Architecture', 'Cloud Applications', 'Continuous Delivery', 'Continuous Integration', 'Software Engineering Tools', 'Agile Software Development', 'Programming Principles', 'Security Engineering', 'Software Testing', 'Cloud Infrastructure', 'Kubernetes', 'Cloud-Based Integration', 'Microarchitecture', 'Cloud Platforms', 'Communication', 'IBM Cloud', 'Scrum (Software Development)', 'Software Security', 'Cloud Storage', 'Docker (Software)', 'Linux', 'Product Management', 'Software-Defined Networking', 'Collaboration', 'Leadership and Management', 'Data Analysis', 'Mergers & Acquisitions']","['DevOps', 'Cloud Computing', 'Computer Programming', 'Communication', 'Leadership and Management', 'Data Analysis']",0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,True
IBM Full Stack Software Developer,"{"" Cloud Computing"","" Python Programming"","" Cloud Applications"","" Computer Programming"","" IBM Cloud"","" Application Development"","" Cloud Infrastructure"","" DevOps"","" Web Development"","" Cloud Management"","" Cloud Platforms"","" Javascript"","" Software Architecture"","" Cloud API"","" Cloud Storage"","" Cloud-Based Integration"","" Full-Stack Web Development"","" Software Engineering"","" Continuous Delivery"","" Continuous Integration"","" Docker (Software)"","" Software As A Service"","" Web Development Tools"","" Microarchitecture"","" Django (Web Framework)"","" Database Application"","" Databases"","" Kubernetes"","" SQL"","" Software Engineering Tools"","" Data Management"","" NoSQL"","" Collaboration"","" Computer Science"","" Data Analysis"","" Leadership and Management"","" Mergers & Acquisitions"","" React (web framework)""}",4.6,41200.0,Beginner , 3 - 6 Months,"['Cloud Computing', 'Python Programming', 'Cloud Applications', 'Computer Programming', 'IBM Cloud', 'Application Development', 'Cloud Infrastructure', 'DevOps', 'Web Development', 'Cloud Management', 'Cloud Platforms', 'Javascript', 'Software Architecture', 'Cloud API', 'Cloud Storage', 'Cloud-Based Integration', 'Full-Stack Web Development', 'Software Engineering', 'Continuous Delivery', 'Continuous Integration', 'Docker (Software)', 'Software As A Service', 'Web Development Tools', 'Microarchitecture', 'Django (Web Framework)', 'Database Application', 'Databases', 'Kubernetes', 'SQL', 'Software Engineering Tools', 'Data Management', 'NoSQL', 'Collaboration', 'Computer Science', 'Data Analysis', 'Leadership and Management', 'Mergers & Acquisitions', 'React (web framework)']","['Cloud Computing', 'Computer Programming', 'DevOps', 'Data Management', 'Data Analysis', 'Leadership and Management']",0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,True
Key Technologies for Business,"{"" Algorithms"","" Applied Machine Learning"","" Artificial Neural Networks"","" Computer Vision"","" Deep Learning"","" Human Learning"","" Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Cloud Computing"","" Data Science"","" Data Analysis"","" Big Data"","" Data Mining"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" DevOps"","" IBM Cloud"","" Regression"","" Writing""}",4.7,81500.0,Beginner , 1 - 3 Months,"['Algorithms', 'Applied Machine Learning', 'Artificial Neural Networks', 'Computer Vision', 'Deep Learning', 'Human Learning', 'Machine Learning', 'Machine Learning Algorithms', 'Machine Learning Software', 'Cloud Computing', 'Data Science', 'Data Analysis', 'Big Data', 'Data Mining', 'Cloud Applications', 'Cloud Infrastructure', 'Cloud Platforms', 'Cloud Storage', 'DevOps', 'IBM Cloud', 'Regression', 'Writing']","['Human Learning', 'Cloud Computing', 'Data Analysis', 'Big Data', 'DevOps']",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,True
Data Science Fundamentals with Python and SQL,"{"" Python Programming"","" Data Analysis"","" General Statistics"","" Probability & Statistics"","" Basic Descriptive Statistics"","" Statistical Analysis"","" Statistical Tests"","" Mathematical Theory & Analysis"","" Statistical Programming"","" Computer Programming"","" Data Science"","" Plot (Graphics)"","" R Programming"","" Computational Thinking"","" Data Management"","" Database Application"","" Database Design"","" Database Theory"","" Databases"","" SQL"","" Cloud Computing"","" IBM Cloud""}",4.6,59200.0,Beginner , 3 - 6 Months,"['Python Programming', 'Data Analysis', 'General Statistics', 'Probability & Statistics', 'Basic Descriptive Statistics', 'Statistical Analysis', 'Statistical Tests', 'Mathematical Theory & Analysis', 'Statistical Programming', 'Computer Programming', 'Data Science', 'Plot (Graphics)', 'R Programming', 'Computational Thinking', 'Data Management', 'Database Application', 'Database Design', 'Database Theory', 'Databases', 'SQL', 'Cloud Computing', 'IBM Cloud']","['Data Analysis', 'Computer Programming', 'Data Management', 'Cloud Computing']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,True
IBM & Darden Digital Strategy,"{"" Business Analysis"","" Business Transformation"","" Strategy"","" Cloud Computing"","" Data Analysis"","" Strategy and Operations"","" Applied Machine Learning"","" Entrepreneurship"","" Leadership and Management"","" Algorithms"","" Artificial Neural Networks"","" Computer Vision"","" Deep Learning"","" Human Learning"","" Innovation"","" Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Marketing"","" Sales"","" Data Visualization"","" Research and Design"","" Business Design"","" Business Development"","" Customer Analysis"","" Product Strategy"","" Market Analysis"","" Data Management"","" Data Mining"","" Databases"","" Python Programming"","" SQL"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" Data Science"","" DevOps"","" IBM Cloud"","" NoSQL"","" R Programming"","" Microsoft Excel""}",4.7,29700.0,Beginner , 3 - 6 Months,"['Business Analysis', 'Business Transformation', 'Strategy', 'Cloud Computing', 'Data Analysis', 'Strategy and Operations', 'Applied Machine Learning', 'Entrepreneurship', 'Leadership and Management', 'Algorithms', 'Artificial Neural Networks', 'Computer Vision', 'Deep Learning', 'Human Learning', 'Innovation', 'Machine Learning', 'Machine Learning Algorithms', 'Machine Learning Software', 'Marketing', 'Sales', 'Data Visualization', 'Research and Design', 'Business Design', 'Business Development', 'Customer Analysis', 'Product Strategy', 'Market Analysis', 'Data Management', 'Data Mining', 'Databases', 'Python Programming', 'SQL', 'Cloud Applications', 'Cloud Infrastructure', 'Cloud Platforms', 'Cloud Storage', 'Data Science', 'DevOps', 'IBM Cloud', 'NoSQL', 'R Programming', 'Microsoft Excel']","['Business Analysis', 'Strategy', 'Cloud Computing', 'Data Analysis', 'Leadership and Management', 'Human Learning', 'Marketing', 'Sales', 'Data Visualization', 'Customer Analysis', 'Data Management', 'DevOps']",0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,True
IBM Data Engineering,"{"" Data Management"","" Databases"","" Database Administration"","" Extract"","" Transform"","" Load"","" Big Data"","" SQL"","" Python Programming"","" Apache"","" Database Design"","" Distributed Computing Architecture"","" Data Architecture"","" Database Application"","" NoSQL"","" Data Structures"","" Data Model"","" Data Warehousing"","" Cloud Computing"","" Database Theory"","" Data Engineering"","" Data Visualization"","" Computer Programming"","" Cloud Storage"","" IBM Cloud"","" Data Mining"","" Machine Learning"","" Cloud Applications"","" Data Analysis"","" Leadership and Management"","" Kubernetes"","" Software Architecture"","" PostgreSQL"","" Computational Thinking"","" Business Intelligence"","" Data Visualization Software"","" Linux"","" Network Security"","" Statistical Programming"","" Data Science""}",4.6,46200.0,Beginner , 3 - 6 Months,"['Data Management', 'Databases', 'Database Administration', 'Extract', 'Transform', 'Load', 'Big Data', 'SQL', 'Python Programming', 'Apache', 'Database Design', 'Distributed Computing Architecture', 'Data Architecture', 'Database Application', 'NoSQL', 'Data Structures', 'Data Model', 'Data Warehousing', 'Cloud Computing', 'Database Theory', 'Data Engineering', 'Data Visualization', 'Computer Programming', 'Cloud Storage', 'IBM Cloud', 'Data Mining', 'Machine Learning', 'Cloud Applications', 'Data Analysis', 'Leadership and Management', 'Kubernetes', 'Software Architecture', 'PostgreSQL', 'Computational Thinking', 'Business Intelligence', 'Data Visualization Software', 'Linux', 'Network Security', 'Statistical Programming', 'Data Science']","['Data Management', 'Transform', 'Big Data', 'Cloud Computing', 'Data Visualization', 'Computer Programming', 'Data Analysis', 'Leadership and Management', 'Network Security']",1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,True
IBM Data Analytics with Excel and R,"{"" Data Analysis"","" R Programming"","" Computer Programming"","" Data Visualization"","" Data Management"","" Statistical Programming"","" Databases"","" Plot (Graphics)"","" Exploratory Data Analysis"","" Statistical Visualization"","" Data Analysis Software"","" Data Structures"","" Statistical Analysis"","" Microsoft Excel"","" SQL"","" Basic Descriptive Statistics"","" General Statistics"","" Interactive Data Visualization"","" Database Application"","" Extract"","" Transform"","" Load"","" Spreadsheet Software"","" Visualization (Computer Graphics)"","" Programming Principles"","" Regression"","" Database Administration"","" Database Design"","" Database Theory"","" Computer Programming Tools"","" Correlation And Dependence"","" Data Mining"","" Data Visualization Software"","" Statistical Machine Learning"","" Visual Design"","" Business Analysis"","" Python Programming"","" Data Science"","" NoSQL""}",4.7,19900.0,Beginner , 3 - 6 Months,"['Data Analysis', 'R Programming', 'Computer Programming', 'Data Visualization', 'Data Management', 'Statistical Programming', 'Databases', 'Plot (Graphics)', 'Exploratory Data Analysis', 'Statistical Visualization', 'Data Analysis Software', 'Data Structures', 'Statistical Analysis', 'Microsoft Excel', 'SQL', 'Basic Descriptive Statistics', 'General Statistics', 'Interactive Data Visualization', 'Database Application', 'Extract', 'Transform', 'Load', 'Spreadsheet Software', 'Visualization (Computer Graphics)', 'Programming Principles', 'Regression', 'Database Administration', 'Database Design', 'Database Theory', 'Computer Programming Tools', 'Correlation And Dependence', 'Data Mining', 'Data Visualization Software', 'Statistical Machine Learning', 'Visual Design', 'Business Analysis', 'Python Programming', 'Data Science', 'NoSQL']","['Data Analysis', 'Computer Programming', 'Data Visualization', 'Data Management', 'Transform', 'Computer Programming Tools', 'Business Analysis']",1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,True
Data Analysis and Visualization Foundations,"{"" Microsoft Excel"","" Spreadsheet Software"","" Data Visualization"","" Data Analysis"","" Plot (Graphics)"","" Databases"","" Python Programming"","" SQL"","" Statistical Visualization"","" Business Analysis"","" Data Management"","" Data Mining"","" Data Science"","" Interactive Data Visualization"","" NoSQL"","" R Programming"","" Data Visualization Software""}",4.7,19300.0,Beginner , 3 - 6 Months,"['Microsoft Excel', 'Spreadsheet Software', 'Data Visualization', 'Data Analysis', 'Plot (Graphics)', 'Databases', 'Python Programming', 'SQL', 'Statistical Visualization', 'Business Analysis', 'Data Management', 'Data Mining', 'Data Science', 'Interactive Data Visualization', 'NoSQL', 'R Programming', 'Data Visualization Software']","['Data Visualization', 'Data Analysis', 'Business Analysis', 'Data Management']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,True
Deep Learning,"{"" Machine Learning"","" Deep Learning"","" Artificial Neural Networks"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Python Programming"","" Machine Learning Software"","" Network Model"","" Algorithms"","" Computer Programming"","" Computer Vision"","" Network Architecture"","" Natural Language Processing"","" Tensorflow"","" Human Learning"","" Data Analysis"","" Exploratory Data Analysis"","" Organizational Development"","" Strategy"","" Mathematics"","" Mathematical Theory & Analysis"","" Linear Algebra"","" Regression"","" Calculus""}",4.8,141500.0,Intermediate , 3 - 6 Months,"['Machine Learning', 'Deep Learning', 'Artificial Neural Networks', 'Machine Learning Algorithms', 'Applied Machine Learning', 'Python Programming', 'Machine Learning Software', 'Network Model', 'Algorithms', 'Computer Programming', 'Computer Vision', 'Network Architecture', 'Natural Language Processing', 'Tensorflow', 'Human Learning', 'Data Analysis', 'Exploratory Data Analysis', 'Organizational Development', 'Strategy', 'Mathematics', 'Mathematical Theory & Analysis', 'Linear Algebra', 'Regression', 'Calculus']","['Computer Programming', 'Network Architecture', 'Human Learning', 'Data Analysis', 'Organizational Development', 'Strategy']",0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,True
IBM AI Foundations for Business,"{"" Machine Learning"","" Data Analysis"","" Applied Machine Learning"","" Data Management"","" Leadership and Management"","" Machine Learning Algorithms"","" Algorithms"","" Artificial Neural Networks"","" Business Process Management"","" Computer Vision"","" Data Architecture"","" Deep Learning"","" Human Learning"","" Machine Learning Software"","" Data Science"","" Strategy and Operations"","" Business Transformation"","" Cloud Computing"","" Strategy"","" Big Data"","" Data Mining"","" Innovation"","" Regression"","" Writing""}",4.7,77200.0,Beginner , 1 - 3 Months,"['Machine Learning', 'Data Analysis', 'Applied Machine Learning', 'Data Management', 'Leadership and Management', 'Machine Learning Algorithms', 'Algorithms', 'Artificial Neural Networks', 'Business Process Management', 'Computer Vision', 'Data Architecture', 'Deep Learning', 'Human Learning', 'Machine Learning Software', 'Data Science', 'Strategy and Operations', 'Business Transformation', 'Cloud Computing', 'Strategy', 'Big Data', 'Data Mining', 'Innovation', 'Regression', 'Writing']","['Data Analysis', 'Data Management', 'Leadership and Management', 'Human Learning', 'Cloud Computing', 'Strategy', 'Big Data']",0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,True
Data Engineering Foundations,"{"" Data Management"","" Python Programming"","" Databases"","" Data Structures"","" Data Engineering"","" Database Application"","" SQL"","" Database Administration"","" Database Design"","" Extract"","" Transform"","" Load"","" Computer Programming"","" Data Architecture"","" Database Theory"","" Data Mining"","" Data Model"","" Data Analysis"","" Leadership and Management"","" Computational Thinking"","" Data Warehousing"","" PostgreSQL"","" Big Data"","" IBM Cloud"","" Network Security"","" NoSQL"","" Cloud Computing"","" Data Science""}",4.6,45100.0,Beginner , 3 - 6 Months,"['Data Management', 'Python Programming', 'Databases', 'Data Structures', 'Data Engineering', 'Database Application', 'SQL', 'Database Administration', 'Database Design', 'Extract', 'Transform', 'Load', 'Computer Programming', 'Data Architecture', 'Database Theory', 'Data Mining', 'Data Model', 'Data Analysis', 'Leadership and Management', 'Computational Thinking', 'Data Warehousing', 'PostgreSQL', 'Big Data', 'IBM Cloud', 'Network Security', 'NoSQL', 'Cloud Computing', 'Data Science']","['Data Management', 'Transform', 'Computer Programming', 'Data Analysis', 'Leadership and Management', 'Big Data', 'Network Security', 'Cloud Computing']",1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,True
IBM Back-End Development,"{"" Application Development"","" Software Engineering"","" Python Programming"","" Computer Programming"","" Software Architecture"","" DevOps"","" Software Engineering Tools"","" Cloud Applications"","" Cloud Computing"","" Security Engineering"","" Programming Principles"","" Web Development"","" Cloud Infrastructure"","" Cloud-Based Integration"","" Microarchitecture"","" Agile Software Development"","" Communication"","" IBM Cloud"","" Kubernetes"","" Software Security"","" Data Management"","" Database Application"","" Databases"","" Docker (Software)"","" Linux"","" Product Management"","" SQL"","" Software-Defined Networking"","" Collaboration"","" Django (Web Framework)"","" Leadership and Management"","" Data Analysis"","" Mergers & Acquisitions""}",4.6,36700.0,Beginner , 3 - 6 Months,"['Application Development', 'Software Engineering', 'Python Programming', 'Computer Programming', 'Software Architecture', 'DevOps', 'Software Engineering Tools', 'Cloud Applications', 'Cloud Computing', 'Security Engineering', 'Programming Principles', 'Web Development', 'Cloud Infrastructure', 'Cloud-Based Integration', 'Microarchitecture', 'Agile Software Development', 'Communication', 'IBM Cloud', 'Kubernetes', 'Software Security', 'Data Management', 'Database Application', 'Databases', 'Docker (Software)', 'Linux', 'Product Management', 'SQL', 'Software-Defined Networking', 'Collaboration', 'Django (Web Framework)', 'Leadership and Management', 'Data Analysis', 'Mergers & Acquisitions']","['Computer Programming', 'DevOps', 'Cloud Computing', 'Communication', 'Data Management', 'Leadership and Management', 'Data Analysis']",0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,True
