course_title,rating,review_count,skills_list,platform,level,duration,filtered_representative_skills,skill__['strategy and operations',skill__['aws',skill__['system programming',skill__['user experience design',skill__'google cloud platform'],skill__'risk management',skill__'computer science',skill__'sales',skill__'customer relationship management',skill__'entrepreneurial finance'],skill__'interactive data visualization',skill__'bayesian network',skill__['salesforce'],skill__'continuous delivery',skill__'linear algebra',skill__['database application',skill__['machine learning',skill__['javascript'],skill__'docker'],skill__'social media',skill__['people development',skill__'fintech',skill__'cloud-based integration',skill__'data analysis',skill__'computer graphics',skill__'planning',skill__'security strategy',skill__['software testing',skill__'benefits',skill__'finance',skill__'conflict management',skill__'leadership and management'],skill__['html and css',skill__'advertising',skill__'creativity',skill__'business intelligence',skill__'system software'],skill__'other web frameworks',skill__'network architecture',skill__'video'],skill__['financial management',skill__'microsoft excel'],skill__'virtual reality'],skill__['blockchain',skill__'computational logic',skill__'sap'],skill__'compensation',skill__'innovation',skill__'microsoft azure',skill__['wordpress',skill__'extract',skill__'amazon web services'],skill__'django'],skill__['emotional intelligence',skill__['resilience'],skill__'plot (graphics)',skill__'data management',skill__'application development'],skill__'jira',skill__'market analysis'],skill__['computer security incident management'],skill__'employee relations',skill__'google app engine',skill__['audit',skill__'mergers & acquisitions',skill__'material handling',skill__'graph theory',skill__'computational logic'],skill__'php programming',skill__'billing & invoicing',skill__['internet of things',skill__'power bi'],skill__'accounts payable and receivable',skill__'linux',skill__'software engineering',skill__'kubernetes',skill__'critical thinking',skill__'clinical data management',skill__'payments',skill__['scrum',skill__'securities trading',skill__'human factors'],skill__'business communication',skill__'ibm cloud',skill__'human learning',skill__'basic descriptive statistics'],skill__'problem solving',skill__['b2b sales'],skill__'corporate accouting'],skill__['small data'],skill__['conflict management'],skill__'applied machine learning',skill__['website'],skill__'devops',skill__'financial accounting',skill__'statistical machine learning',skill__'inventory management',skill__'training',skill__'scala programming'],skill__'dimensionality reduction',skill__'b2b sales',skill__'strategy',skill__['regulations and compliance',skill__'agile software development'],skill__'computer security incident management',skill__'behavioral economics',skill__'customer analysis',skill__'digital marketing',skill__'transform',skill__'scientific visualization',skill__['3d',skill__'regulations and compliance',skill__'generally accepted accounting principles (gaap)',skill__'account management',skill__['computational thinking',skill__'information technology',skill__['writing'],skill__['cloud engineering',skill__'react (web framework)',skill__['customer success',skill__'product strategy',skill__'talent management',skill__'python programming',skill__'cash management',skill__'database administration',skill__'data architecture',skill__'media strategy & planning'],skill__'project management',skill__'website'],skill__['cloud-based integration',skill__'computer security incident management'],skill__['risk management'],skill__['amazon web services'],skill__'sas',skill__'continuous integration',skill__['sales systems',skill__['virtual reality'],skill__'systems design',skill__'correlation and dependence',skill__'human resources operations',skill__'c programming language family'],skill__'docker (software)',skill__'supply chain systems',skill__['health'],skill__'storytelling'],skill__'hr tech'],skill__['scala programming'],skill__'budget management',skill__'web design',skill__['survey creation',has_rep
Oracle Certification: Mastering Java for Beginners & Experts,4.2,1107.0,"[""['java programming'"", ""'internet of things'"", ""'microsoft azure'"", ""'microsoft excel']""]",udemy,0,6.0,"[""'microsoft azure'"", ""'microsoft excel']""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Data Analysis Masterclass (4 courses in 1),4.4,1106.0,"[""['tableau software'"", ""'python programming'"", ""'sql'"", ""'microsoft excel']""]",udemy,1,17.0,"[""'python programming'"", ""'microsoft excel']""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Kubernetes On The Cloud & The CNCF CKA Certification,3.8,1103.0,"[""['kubernetes']""]",udemy,0,8.5,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
JavaScript Interview Prep: Practice Problems,4.6,1101.0,"[""['javascript']""]",udemy,0,4.0,"[""['javascript']""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Design Patterns in Swift,4.4,1099.0,"[""['internet of things'"", ""'swift programming']""]",udemy,2,8.5,"[""['internet of things'""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Build REST APIs with Django REST Framework and Python,4.5,1101.0,"[""['software testing'"", ""'cloud api'"", ""'django']""]",udemy,0,13.0,"[""['software testing'"", ""'django']""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Spring Boot For Software Engineers,4.3,1097.0,"[""['cloud api']""]",udemy,4,6.5,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"SwiftUI - Learn How to Build Beautiful, Robust, Apps",4.5,1098.0,"[""['user experience'"", ""'swift programming'"", ""'user research'"", ""'cloud platforms'"", ""'user experience design'"", ""'other cloud platforms and tools']""]",udemy,0,4.5,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Selenium Webdriver & Java - Using Real Examples - 2023,4.5,1094.0,"[""['retail store operations']""]",udemy,0,20.5,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Selenium Python - Step by Step for Beginners with Framework,4.3,1094.0,"[""['python programming']""]",udemy,0,10.0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
